item_id,model,tugas,penilai,benar,latensi_ms,biaya_usd,tokens_out,cap_token,dijalankan_pada
id-b1-012,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,0,533,,2,600,2026-08-17T22:00:26+0700
id-b1-012,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,553,0.0000100600,2,600,2026-08-17T22:25:19+0700
id-b1-012,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,474,0.0000100600,2,600,2026-08-13T14:45:42+0700
id-b1-012,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,3246,0.0000212700,1,600,2026-08-17T22:30:46+0700
id-b1-012,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,533,0.0000239000,2,600,2026-08-14T03:02:04+0700
id-b1-012,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,441,,2,600,2026-08-17T22:02:43+0700
id-b1-012,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,383,,2,600,2026-08-17T22:09:23+0700
id-b1-012,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,1,1360,,2,600,2026-08-17T22:04:58+0700
id-b1-012,solar-pro4,pilihan-ganda,mcq-py1,1,860,0.0000075900,2,600,2026-08-17T22:16:35+0700
id-b1-015,claude-haiku-4.5,pilihan-ganda,mcq-py1,0,1402,0.0002370000,4,600,2026-08-17T23:06:17+0700
id-b1-015,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,0,6022,0.0000379873,99,600,2026-08-17T22:59:18+0700
id-b1-015,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,0,2481,0.0000279450,91,600,2026-08-14T02:59:16+0700
id-b1-015,gemma-4-31b,pilihan-ganda,mcq-py1,1,462,0.0000147200,2,600,2026-08-17T22:41:47+0700
id-b1-015,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,1201,0.0000374000,5,600,2026-08-17T22:46:54+0700
id-b1-015,hunyuan-a13b,pilihan-ganda,mcq-py1,0,1488,0.0000273200,2,600,2026-08-17T22:53:23+0700
id-b1-015,ling-3.0-flash,pilihan-ganda,mcq-py1,0,1418,0.0000187740,230,600,2026-08-17T22:35:32+0700
id-b1-015,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,0,376,,2,600,2026-08-17T22:00:31+0700
id-b1-015,mistral-small-3-2501,pilihan-ganda,mcq-py1,0,632,0.0000085600,2,600,2026-08-17T22:25:25+0700
id-b1-015,mistral-small-3-2501,pilihan-ganda,mcq-py1,0,517,0.0000085600,2,600,2026-08-13T14:45:47+0700
id-b1-015,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,5659,0.0000197000,2,600,2026-08-17T22:30:58+0700
id-b1-015,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,567,0.0000197000,2,600,2026-08-14T03:02:10+0700
id-b1-015,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,542,,2,600,2026-08-17T22:02:48+0700
id-b1-015,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,360,,2,600,2026-08-17T22:09:28+0700
id-b1-015,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,0,880,,2,600,2026-08-17T22:05:04+0700
id-b1-015,solar-pro4,pilihan-ganda,mcq-py1,0,851,0.0000067200,3,600,2026-08-17T22:16:42+0700
id-b1-016,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1635,0.0003860000,4,600,2026-08-17T23:06:20+0700
id-b1-016,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,3811,0.0000441629,87,600,2026-08-17T22:59:23+0700
id-b1-016,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,3951,0.0000523600,48,600,2026-08-14T02:59:21+0700
id-b1-016,gemma-4-31b,pilihan-ganda,mcq-py1,1,848,0.0000237200,2,600,2026-08-17T22:41:49+0700
id-b1-016,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,1336,0.0000586000,5,600,2026-08-17T22:46:57+0700
id-b1-016,hunyuan-a13b,pilihan-ganda,mcq-py1,1,1446,0.0000460800,2,600,2026-08-17T22:53:26+0700
id-b1-016,ling-3.0-flash,pilihan-ganda,mcq-py1,1,1239,0.0000144690,120,600,2026-08-17T22:35:34+0700
id-b1-016,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,570,,2,600,2026-08-17T22:00:33+0700
id-b1-016,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,925,0.0000143600,2,600,2026-08-17T22:25:27+0700
id-b1-016,mistral-small-3-2501,pilihan-ganda,mcq-py1,1,508,0.0000143600,2,600,2026-08-13T14:45:49+0700
id-b1-016,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,919,0.0000331000,2,600,2026-08-17T22:31:00+0700
id-b1-016,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,461,0.0000331000,2,600,2026-08-14T03:02:11+0700
id-b1-016,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,476,,2,600,2026-08-17T22:02:50+0700
id-b1-016,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,504,,2,600,2026-08-17T22:09:30+0700
id-b1-016,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,1,839,,2,600,2026-08-17T22:05:06+0700
id-b1-016,solar-pro4,pilihan-ganda,mcq-py1,1,913,0.0000100800,2,600,2026-08-17T22:16:44+0700
id-b1-017,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1270,0.0003120000,4,600,2026-08-17T23:06:23+0700
id-b1-017,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,4129,0.0000519500,82,600,2026-08-17T22:59:28+0700
id-b1-017,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,2318,0.0000527800,77,600,2026-08-14T02:59:24+0700
id-b1-017,gemma-4-31b,pilihan-ganda,mcq-py1,1,1093,0.0000191300,2,600,2026-08-17T22:41:52+0700
